Aal;tripsk;'tripsk;
Aas;kilrosh;'kil.rosh;
ab;qä;'qä;
Abbau;qädouj;'qä.douj;
abbauen;qädoujell;qä.'dou.jell;
abbiegen;qälútashell;qä.'lú.ta.shell;
abbrechen;qächlashell;qä.'chla.shell;
Abbruch;qächlachr;;
abbuchen;qäsolotchell;qä.'so.lo.tchell;
Abdruck;qäploich;'qä.ploich;
abdrücken;qäploichrell;qä.'ploi.chrell;
Abend;minelk;'mi.nelk;
Abendessen;minelkspawl;'mi.nelk.spawl;
Abenteuer;shíron;'shí.ron;
aber;rotch;'rotch;
abfahren;qäkurchell;qä.'kur.chell;
abfahrend;qäkurchellp;qä.'kur.chellp;
Abfahrt;qäkurch;qä.'kur.tion;
Abfall;qäplîx;'qä.plîx;
abfälschen;qämurchell;qä.'mur.chell;
abfertigen;qäspashell;qä.'spa.shell;
Abfertigung;qäspashem;qä.'spa.shem;
abfeuern;qäblatchell;qä.'bla.tchell;
Abfindung;qämeymem;qä.'mey.mem;
Abfrage;qämítion;qä.'mí.tion;
abfragen;qämítionell;qä.'mí.tio-.nell;
abführen;qärutchell;qä.'ru.tchell;
Abgabe;qäinchrír;qä.'in.chrír;
Abgas;qäturok;qä.'tu-.rok;
abgeben;qäinchrell;qä.'in.chrell;
abgespannt;qätelashat;qä.'te.la.shat;
Abgrund;qänalmash;qä.'nal.mash;
abhalten;qämashell;qä.'ma.shell;
Abhang;qäeftachr;qä.'ef.ta.chr;
abhängen;qäeftashell;qä.'ef.ta.shell;
abhängig;qäeftashroilt;qä.'ef.tash.roilt;
Abhängigkeit;qäeftashroil;qä.'ef.tash.roil;
abhärten;qäeyrashell;qä.'ey.ra.shell;
Abhärtung;qäeyrashem;qä.'ey.ra.shem;
abhauen;qäcumchrell;qä.'cum.chrell;
abheben;qäsîmchell;qä.'sîm.chell;
abholen;qätoichrell;qä.'toi.chrell;
abhören;qädílashell;qä.dí.'la.shell;
abkühlen;qäspriashell;qä.'spri-.a.shell;
abkürzen;qäkilshell;qä.'kil.shell;
Abkürzung;qäkilshem;qä.'kil.shem;
Ablauf;qädorchr;qä.'dor.chr;
ablaufen;qädorchrell;qä.'dor.chrell;
ablegen;qäeschell;qä.'es.chell;
